escenario,nombre,k,lambda,mu,a,B,N_prom,rho,lambda_ef,total,atendidos,bloqueados,B_sim,utilizacion,tiempo_total
liga_regular,Partido de Liga regular,5,20.0,4.0,5.0,0.2848678213309025,3.5756608933454874,0.7151321786690975,14.30264357338195,30000,21434,8566,0.2855333333333333,0.7154891663892844,1487.0293047718958
clasico_millonarios,Clásico vs Millonarios,10,60.0,3.0,20.0,0.5379631686320728,9.240736627358542,0.9240736627358542,27.72220988207563,50000,23078,26922,0.53844,0.9234409267742776,836.5185581496588
final_copa,Final de Copa,15,100.0,2.0,50.0,0.707957288320629,14.602135583968552,0.9734757055979035,29.2042711679371,80000,23528,56472,0.7059,0.9741775036778031,802.3120810353629
superclasico,Súper-clásico (Clausura),20,150.0,2.5,60.0,0.674447224942863,19.53316650342822,0.9766583251714109,48.83291625857055,100000,32517,67483,0.67483,0.9763723587150032,665.999400276242
